Comment,Designator,Footprint,LCSC Part #
"22u","C1,C2",C_0805_2012Metric,C45783
"10u","C3,C7",C_0805_2012Metric,C15850
"100n","C4,C6,C8",C_0402_1005Metric,C1525
"1u","C5",C_0402_1005Metric,C52923
"Red","D1",LED_0603_1608Metric,C2286
"DF40C-80DP-0.4V(51)","J1,J2",Hirose_DF40C-80DP-0.4V_2x40-1MP_P0.4mm,C294544
"DF40C-50DP-0.4V(51)","J3",Hirose_DF40C-50DP-0.4V_2x25-1MP_P0.4mm,C424645
"DF40HC(4.0)-80DS-0.4V(51)","J4,J5",Hirose_DF40HC(4.0)-80DS-0.4V_2x40_P0.4mm,C5254351
"DF40HC(4.0)-50DS-0.4V(51)","J6",Hirose_DF40HC(4.0)-50DS-0.4V_2x25_P0.4mm,C5338326
"1040310811","J7",microSD_HC_Molex_104031-0811,C585350
"2N7002","Q1,Q2",SOT-23,C8545
"10k","R1,R2,R3,R4,R5,R31,R32,R33,R34,R35,R36",R_0402_1005Metric,C25744
"1k","R6,R7",R_0402_1005Metric,C11702
"33R","R10,R11,R12,R13,R20,R21,R22,R23,R24,R25,R26,R27,R30",R_0402_1005Metric,C25105
"ESP32-S3-MINI-1U-N8","U1",ESP32-S2-MINI-1U,C2980299
"SN74LVC125APWR","U2",TSSOP-14_4.4x5mm_P0.65mm,C7813
