Comment,Designator,Footprint,Qty,MPN,LCSC Part #,Populate
"22u","C1,C2",C_0805_2012Metric,2,"CL21A226MAQNNNE",C45783,yes
"10u","C3,C7",C_0805_2012Metric,2,"CL21A106KAYNNNE",C15850,yes
"100n","C4,C6,C8",C_0402_1005Metric,3,"CL05B104KO5NNNC",C1525,yes
"1u","C5",C_0402_1005Metric,1,"CL05A105KA5NQNC",C52923,yes
"Red","D1",LED_0603_1608Metric,1,"KT-0603R",C2286,yes
"DF40C-80DP-0.4V(51)","J1,J2",Hirose_DF40C-80DP-0.4V_2x40-1MP_P0.4mm,2,"DF40C-80DP-0.4V(51)",C294544,yes
"DF40C-50DP-0.4V(51)","J3",Hirose_DF40C-50DP-0.4V_2x25-1MP_P0.4mm,1,"DF40C-50DP-0.4V(51)",C424645,yes
"DF40HC(4.0)-80DS-0.4V(51)","J4,J5",Hirose_DF40HC(4.0)-80DS-0.4V_2x40_P0.4mm,2,"DF40HC(4.0)-80DS-0.4V(51)",C5254351,yes
"DF40HC(4.0)-50DS-0.4V(51)","J6",Hirose_DF40HC(4.0)-50DS-0.4V_2x25_P0.4mm,1,"DF40HC(4.0)-50DS-0.4V(51)",C5338326,yes
"1040310811","J7",microSD_HC_Molex_104031-0811,1,"1040310811",C585350,yes
"2N7002","Q1,Q2",SOT-23,2,"2N7002",C8545,yes
"10k","R1,R2,R3,R4,R5,R31,R32,R33,R34,R35,R36",R_0402_1005Metric,11,"0402WGF1002TCE",C25744,yes
"1k","R6,R7",R_0402_1005Metric,2,"0402WGF1001TCE",C11702,yes
"33R","R10,R11,R12,R13,R20,R21,R22,R23,R24,R25,R26,R27,R30",R_0402_1005Metric,13,"0402WGF330JTCE",C25105,yes
"33R","R14,R15,R16,R17",R_0402_1005Metric,4,"0402WGF330JTCE",C25105,DNP
"ESP32-S3-MINI-1U-N8","U1",ESP32-S2-MINI-1U,1,"ESP32-S3-MINI-1U-N8",C2980299,yes
"SN74LVC125APWR","U2",TSSOP-14_4.4x5mm_P0.65mm,1,"SN74LVC125APWR",C7813,yes
