Comment,Designator,Footprint,LCSC Part #
1u,"C1,C2,C3,C4,C5,C6,C7",C_0402_1005Metric,C52923
100n,"C8,C9,C10,C11,C26,C27,C28,C38,C40",C_0402_1005Metric,C1525
10n,"C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C39",C_0402_1005Metric,C15195
10u,"C23,C24,C31,C32,C33",C_0805_2012Metric,C15850
1u,"C29,C30,C34,C35,C36,C37",C_0603_1608Metric,C15849
220n,C41,C_0402_1005Metric,C16772
DF40C-80DP (Bank A),J1,Hirose_DF40C-80DP-0.4V_2x40-1MP_P0.4mm,C294544
DF40C-80DP (Bank B),J2,Hirose_DF40C-80DP-0.4V_2x40-1MP_P0.4mm,C294544
DF40C-50DP (Control),J3,Hirose_DF40C-50DP-0.4V_2x25-1MP_P0.4mm,C424645
2.2uH,L1,L_Power_4x4mm_SMNR4020,C135262
47k,R1,R_0402_1005Metric,C25792
100R,R2,R_0402_1005Metric,C25076
10k,"R3,R4,R5,R6,R7,R12,R13,R14",R_0402_1005Metric,C25744
330k,R8,R_0402_1005Metric,C25778
51k,R9,R_0402_1005Metric,C25794
1k,"R10,R11,R17",R_0402_1005Metric,C11702
100k,"R15,R16",R_0402_1005Metric,C25741
NOIP1SN1300A-QTI,U1,Andon_680-48-SM-G10-R14,
TPS7A2018PDBVR,U2,SOT-23-5,C963430
TPS61023DRLR,U3,SOT-563,C919459
TPS7A2033PDBVR,"U4,U5",SOT-23-5,C2862740
TLV803SDBZT,"U6,U7",SOT-23,C702125
