level_wanted,level_to_command_blue
0,0
1,66
2,71
3,75
4,79
5,83
6,86
7,89
8,91
9,94
10,96
11,99
12,101
13,103
14,105
15,106
16,108
17,109
18,111
19,112
20,114
21,115
22,117
23,118
24,120
25,121
26,122
27,123
28,124
29,125
30,127
31,128
32,129
33,130
34,131
35,132
36,134
37,135
38,136
39,137
40,138
41,139
42,140
43,141
44,142
45,143
46,144
47,145
48,146
49,147
50,148
51,149
52,150
53,151
54,152
55,153
56,153
57,155
58,156
59,157
60,158
61,158
62,159
63,160
64,161
65,162
66,162
67,163
68,164
69,165
70,166
71,167
72,167
73,168
74,169
75,170
76,171
77,171
78,172
79,173
80,173
81,174
82,174
83,175
84,176
85,176
86,177
87,178
88,178
89,179
90,180
91,180
92,181
93,182
94,182
95,182
96,183
97,183
98,184
99,184
100,185
101,186
102,186
103,187
104,188
105,188
106,189
107,189
108,189
109,189
110,190
111,190
112,191
113,192
114,192
115,193
116,193
117,194
118,194
119,195
120,195
121,196
122,196
123,197
124,198
125,198
126,199
127,199
128,200
129,200
130,201
131,201
132,202
133,202
134,203
135,203
136,204
137,204
138,205
139,206
140,206
141,207
142,207
143,208
144,208
145,210
146,210
147,211
148,211
149,212
150,212
151,213
152,213
153,214
154,214
155,215
156,215
157,216
158,216
159,217
160,217
161,218
162,218
163,219
164,219
165,220
166,220
167,221
168,221
169,222
170,222
171,222
172,223
173,223
174,224
175,224
176,225
177,225
178,225
179,226
180,226
181,227
182,227
183,227
184,228
185,228
186,229
187,229
188,230
189,230
190,230
191,231
192,231
193,232
194,232
195,232
196,233
197,233
198,234
199,234
200,235
201,235
202,235
203,236
204,236
205,237
206,237
207,237
208,239
209,239
210,240
211,240
212,240
213,241
214,241
215,241
216,242
217,242
218,243
219,243
220,243
221,244
222,244
223,244
224,245
225,245
226,245
227,246
228,246
229,247
230,247
231,247
232,248
233,248
234,248
235,249
236,249
237,249
238,250
239,250
240,251
241,251
242,251
243,252
244,252
245,252
246,252
247,252
248,252
249,253
250,253
251,254
252,254
253,254
254,255
255,255
