delay_us,W0,W17,W34,W51,W68,W85,W102,W119,W136,W153,W170,W187,W204,W221,W238,W255
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
580,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
600,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
620,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
640,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
660,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
680,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
700,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
720,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
740,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
760,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
780,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
800,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
820,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
840,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
860,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0,0
880,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0,0
900,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
