level,kind,t_s,icp_shift,raw_sum,aligned_sum,light_above_ref
0,sweep,97.1,0.0,63308.5,63308.5,0.0
255,sweep,195.1,-1.6944,70550.0,69845.1,6536.6
119,sweep,292.0,-0.7629,66729.0,66411.6,3103.1
51,sweep,389.0,-0.4018,64871.5,64704.4,1395.9
187,sweep,485.4,-1.182,68755.0,68263.3,4954.8
17,sweep,582.4,-0.1265,63808.5,63755.9,447.4
85,sweep,678.5,-0.5939,65819.0,65571.9,2263.4
153,sweep,774.2,-0.8014,67704.5,67371.1,4062.6
221,sweep,870.2,-1.1656,69462.5,68977.6,5669.1
34,sweep,966.8,-0.063,64197.5,64171.3,862.8
68,sweep,1063.8,-0.2042,65145.0,65060.0,1751.5
102,sweep,1159.9,-0.452,66205.0,66017.0,2708.5
136,sweep,1256.0,-0.7086,67128.0,66833.2,3524.7
170,sweep,1353.0,-0.7595,68131.5,67815.6,4507.1
204,sweep,1450.4,-0.7806,68972.5,68647.8,5339.3
238,sweep,1548.3,-0.9513,69836.5,69440.7,6132.2
0,repeat,1645.4,0.2175,63218.0,63308.5,0.0
