delay_us,median,min,max,sat_px
0.0,162.0,161,162,0
30.0,162.0,162,162,0
60.0,162.0,162,162,0
90.0,162.0,162,162,0
120.0,162.0,162,162,0
150.0,162.0,162,163,0
180.0,162.0,162,162,0
210.0,162.0,162,162,0
240.0,162.0,162,163,0
270.0,162.0,162,163,0
300.0,162.0,162,163,0
330.0,162.0,162,162,0
360.0,162.0,162,163,0
390.0,162.0,162,162,0
420.0,162.0,162,163,0
450.0,162.0,162,163,0
480.0,162.0,162,162,0
510.0,162.0,162,162,0
540.0,162.0,162,163,0
570.0,167.5,167,168,0
600.0,174.0,174,174,0
630.0,174.0,174,174,0
660.0,174.0,174,174,0
690.0,174.0,174,174,0
720.0,174.0,174,174,0
750.0,174.0,173,174,0
780.0,173.5,173,174,0
810.0,173.0,173,174,0
840.0,167.0,167,167,0
870.0,162.0,162,162,0
900.0,162.0,162,162,0
930.0,162.0,162,163,0
960.0,162.0,162,162,0
990.0,162.0,162,162,0
1020.0,162.0,162,162,0
1050.0,162.0,162,162,0
1080.0,162.0,162,162,0
1110.0,162.0,162,162,0
1140.0,162.0,162,162,0
1170.0,162.0,162,162,0
1200.0,162.0,162,162,0
1230.0,162.0,162,162,0
1260.0,162.0,162,162,0
1290.0,162.0,162,162,0
1320.0,162.0,162,162,0
1350.0,162.0,162,162,0
1380.0,162.0,162,162,0
1410.0,162.0,162,162,0
1440.0,162.0,162,162,0
1470.0,162.0,162,162,0
1500.0,162.0,162,162,0
1530.0,162.0,162,162,0
1560.0,162.0,162,162,0
1590.0,162.0,162,162,0
1620.0,162.0,162,162,0
1650.0,162.0,161,162,0
1680.0,162.0,162,162,0
1710.0,162.0,162,162,0
1740.0,162.0,162,162,0
1770.0,162.0,161,162,0
1800.0,162.0,161,162,0
1830.0,162.0,162,162,0
1860.0,162.0,162,162,0
1890.0,162.0,161,162,0
1920.0,162.0,161,162,0
1950.0,162.0,162,162,0
1980.0,162.0,161,162,0
2010.0,162.0,162,162,0
2040.0,162.0,161,162,0
2070.0,162.0,161,162,0
2100.0,162.0,161,162,0
2130.0,161.5,161,162,0
2160.0,165.0,165,166,0
2190.0,173.0,173,174,0
2220.0,173.0,173,174,0
2250.0,173.0,173,174,0
2280.0,173.0,173,174,0
2310.0,173.0,173,174,0
2340.0,173.0,173,173,0
2370.0,173.0,173,173,0
2400.0,173.0,173,173,0
2430.0,173.0,173,173,0
2460.0,172.0,172,173,0
2490.0,172.0,172,172,0
2520.0,164.0,164,165,0
2550.0,162.0,161,162,0
2580.0,161.5,161,162,0
2610.0,161.5,161,162,0
2640.0,161.0,161,162,0
2670.0,161.5,161,162,0
2700.0,161.0,161,162,0
2730.0,233.0,228,239,0
2760.0,317.5,313,323,0
2790.0,310.5,310,314,0
2820.0,312.0,311,313,0
2850.0,311.0,311,313,0
2880.0,311.0,310,312,0
2910.0,310.5,310,312,0
2940.0,311.0,310,312,0
2970.0,311.0,310,311,0
3000.0,310.0,310,311,0
3030.0,309.0,309,310,0
3060.0,308.0,308,309,0
3090.0,308.0,307,309,0
3120.0,284.0,279,287,0
3150.0,162.0,161,163,0
3180.0,161.0,161,161,0
3210.0,161.0,161,161,0
3240.0,161.0,161,161,0
