delay_us,median,min,max,sat_px
0.0,175.0,174,175,0
30.0,175.0,175,175,0
60.0,175.0,175,175,0
90.0,175.0,175,175,0
120.0,175.0,175,175,0
150.0,175.0,175,175,0
180.0,175.0,175,175,0
210.0,175.0,174,175,0
240.0,175.0,174,175,0
270.0,175.0,175,175,0
300.0,175.0,174,175,0
330.0,175.0,174,175,0
360.0,175.0,175,175,0
390.0,175.0,174,175,0
420.0,175.0,174,175,0
450.0,175.0,175,175,0
480.0,175.0,174,175,0
510.0,175.0,175,175,0
540.0,175.0,174,175,0
570.0,987.0,985,987,202
600.0,988.0,988,988,203
630.0,988.0,988,989,203
660.0,988.0,988,988,202
690.0,988.0,988,989,203
720.0,988.0,988,989,204
750.0,988.0,986,988,203
780.0,988.0,987,989,203
810.0,988.0,988,989,202
840.0,988.0,986,988,203
870.0,210.0,208,212,0
900.0,177.0,177,178,0
930.0,172.0,172,172,0
960.0,172.0,172,172,0
990.0,173.0,173,173,0
1020.0,173.0,173,174,0
1050.0,174.0,174,174,0
1080.0,175.0,175,175,0
1110.0,176.0,175,176,0
1140.0,176.0,176,176,0
1170.0,174.0,174,174,0
1200.0,174.0,174,174,0
1230.0,174.0,174,174,0
1260.0,174.0,174,174,0
1290.0,174.0,174,174,0
1320.0,174.0,174,174,0
1350.0,174.0,174,174,0
1380.0,174.0,174,175,0
1410.0,174.0,174,174,0
1440.0,174.0,174,174,0
1470.0,174.0,174,175,0
1500.0,175.0,175,175,0
1530.0,174.0,174,175,0
1560.0,174.0,174,175,0
1590.0,174.5,174,175,0
1620.0,175.0,174,175,0
1650.0,174.5,174,175,0
1680.0,174.0,174,175,0
1710.0,175.0,174,175,0
1740.0,175.0,174,175,0
1770.0,175.0,175,175,0
1800.0,175.0,175,175,0
1830.0,175.0,175,175,0
1860.0,175.0,175,175,0
1890.0,175.0,175,175,0
1920.0,175.0,175,175,0
1950.0,175.0,175,175,0
1980.0,175.0,175,175,0
2010.0,175.0,175,175,0
2040.0,175.0,175,175,0
2070.0,175.0,175,175,0
2100.0,175.0,175,175,0
2130.0,175.0,174,175,0
2160.0,987.0,987,988,202
2190.0,988.0,988,989,203
2220.0,988.0,987,989,203
2250.0,986.5,986,988,202
2280.0,988.0,987,989,203
2310.0,988.0,988,989,203
2340.0,988.0,988,989,203
2370.0,988.5,988,989,202
2400.0,988.0,988,989,203
2430.0,988.0,988,988,203
2460.0,988.0,988,989,202
2490.0,989.0,988,989,204
2520.0,988.0,988,988,202
2550.0,189.0,188,191,0
2580.0,171.5,171,172,0
