delay_us,median,min,max,sat_px
0.0,165.0,164,165,0
30.0,164.5,164,165,0
60.0,165.0,165,165,0
90.0,165.0,165,165,0
120.0,164.5,164,165,0
150.0,165.0,165,165,0
180.0,165.0,165,165,0
210.0,165.0,164,165,0
240.0,165.0,165,165,0
270.0,165.0,165,165,0
300.0,165.0,164,165,0
330.0,165.0,164,165,0
360.0,165.0,164,165,0
390.0,165.0,164,165,0
420.0,165.0,164,165,0
450.0,165.0,164,165,0
480.0,164.5,164,165,0
510.0,165.0,164,165,0
540.0,165.0,164,165,0
570.0,167.0,166,167,0
600.0,170.0,170,170,0
630.0,170.0,170,170,0
660.0,170.0,170,170,0
690.0,170.0,170,170,0
720.0,170.0,170,170,0
750.0,170.0,170,170,0
780.0,170.0,170,170,0
810.0,170.0,169,170,0
840.0,167.0,167,167,0
870.0,165.0,165,165,0
900.0,164.0,164,165,0
930.0,164.5,164,165,0
960.0,165.0,164,165,0
990.0,164.5,164,165,0
1020.0,165.0,164,165,0
1050.0,165.0,164,165,0
1080.0,165.0,164,165,0
1110.0,164.5,164,165,0
1140.0,164.0,164,165,0
1170.0,166.0,166,167,0
1200.0,168.0,168,168,0
1230.0,168.0,167,168,0
1260.0,168.0,167,168,0
1290.0,168.0,168,168,0
1320.0,168.0,167,168,0
1350.0,168.0,168,168,0
1380.0,170.0,169,170,0
1410.0,173.0,173,173,0
1440.0,208.5,201,224,0
1470.0,812.0,788,827,0
1500.0,893.0,876,897,0
1530.0,670.5,635,681,0
1560.0,183.0,182,184,0
1590.0,173.5,173,174,0
1620.0,173.0,173,173,0
1650.0,176.0,175,176,0
1680.0,184.5,184,185,0
1710.0,260.5,255,269,0
1740.0,985.0,985,986,200
1770.0,986.0,986,986,200
1800.0,986.0,986,987,202
1830.0,986.0,985,987,202
1860.0,986.0,985,986,201
1890.0,986.0,985,986,201
1920.0,986.0,985,986,200
1950.0,986.0,986,986,200
1980.0,986.5,985,987,202
2010.0,279.0,267,309,0
2040.0,187.0,186,188,0
2070.0,178.0,178,178,0
2100.0,175.0,175,176,0
2130.0,174.0,174,175,0
2160.0,176.0,176,176,0
2190.0,180.0,180,180,0
2220.0,180.0,179,180,0
2250.0,179.0,179,179,0
2280.0,179.0,179,179,0
2310.0,179.0,179,179,0
2340.0,179.0,178,179,0
2370.0,178.0,178,179,0
2400.0,178.0,178,179,0
2430.0,178.0,178,179,0
2460.0,178.0,178,178,0
2490.0,177.5,177,178,0
2520.0,174.0,174,174,0
2550.0,172.0,172,172,0
2580.0,172.0,171,172,0
2610.0,172.0,172,172,0
2640.0,172.0,172,172,0
2670.0,172.0,172,172,0
2700.0,172.0,172,172,0
2730.0,172.0,172,172,0
2760.0,173.0,172,173,0
2790.0,173.0,173,173,0
2820.0,173.0,172,173,0
2850.0,173.0,172,173,0
2880.0,173.0,173,173,0
2910.0,172.5,172,173,0
2940.0,173.0,172,173,0
2970.0,173.0,172,173,0
3000.0,173.0,173,173,0
3030.0,173.0,172,173,0
3060.0,173.0,172,173,0
3090.0,173.0,172,173,0
3120.0,172.5,172,173,0
3150.0,172.0,172,172,0
3180.0,172.0,172,173,0
3210.0,172.0,172,172,0
3240.0,172.0,172,173,0
3270.0,172.0,172,172,0
3300.0,172.0,172,172,0
3330.0,172.0,172,172,0
3360.0,172.0,172,172,0
3390.0,172.0,172,172,0
3420.0,172.0,172,172,0
3450.0,172.0,172,172,0
3480.0,172.0,172,172,0
3510.0,172.0,172,173,0
3540.0,172.0,172,172,0
3570.0,172.0,172,172,0
3600.0,172.0,172,172,0
3630.0,172.0,172,172,0
3660.0,172.0,172,172,0
3690.0,173.0,173,173,0
3720.0,177.0,177,177,0
3750.0,177.0,177,178,0
3780.0,178.0,177,178,0
3810.0,178.0,177,178,0
3840.0,178.0,178,178,0
3870.0,178.0,177,178,0
3900.0,178.0,178,178,0
3930.0,178.0,178,178,0
3960.0,177.0,176,177,0
3990.0,173.0,173,174,0
4020.0,172.0,172,172,0
4050.0,172.0,172,172,0
4080.0,172.0,172,172,0
4110.0,172.0,172,172,0
4140.0,172.0,172,172,0
4170.0,985.0,985,985,200
4200.0,986.0,986,986,201
4230.0,986.0,985,986,200
4260.0,986.0,985,986,202
4290.0,986.0,986,987,201
4320.0,986.0,986,987,204
4350.0,986.0,986,986,201
4380.0,986.0,984,986,201
4410.0,986.0,986,987,202
4440.0,986.0,986,986,202
4470.0,986.0,985,986,201
4500.0,984.5,984,987,201
4530.0,986.5,986,987,202
4560.0,986.0,986,987,202
4590.0,986.0,986,987,202
4620.0,986.0,986,987,202
4650.0,986.5,986,987,201
4680.0,986.0,986,986,202
4710.0,986.0,986,987,202
4740.0,985.0,984,985,200
4770.0,984.5,984,985,200
4800.0,987.0,986,987,202
4830.0,986.0,986,988,202
4860.0,987.0,986,987,202
4890.0,988.0,985,988,204
4920.0,894.5,877,912,0
4950.0,428.5,417,460,0
4980.0,164.0,164,165,0
5010.0,160.5,160,161,0
5040.0,160.0,159,160,0
5070.0,159.5,159,160,0
5100.0,160.0,159,160,0
5130.0,160.0,160,160,0
5160.0,160.0,159,160,0
5190.0,160.0,159,160,0
5220.0,159.5,159,160,0
5250.0,157.0,157,157,0
5280.0,157.0,156,157,0
5310.0,157.0,156,157,0
5340.0,157.0,156,157,0
5370.0,157.0,156,157,0
5400.0,157.0,156,157,0
5430.0,157.0,157,157,0
5460.0,157.0,157,157,0
5490.0,157.0,156,157,0
5520.0,157.0,157,157,0
5550.0,157.0,157,157,0
5580.0,157.0,157,157,0
5610.0,157.0,157,158,0
5640.0,161.0,160,161,0
5670.0,164.0,163,164,0
5700.0,164.0,164,164,0
5730.0,164.0,164,164,0
5760.0,164.0,164,164,0
5790.0,164.0,164,164,0
5820.0,164.0,164,164,0
5850.0,164.0,163,164,0
5880.0,159.0,158,159,0
5910.0,157.0,157,158,0
5940.0,157.0,157,158,0
5970.0,157.0,157,157,0
6000.0,157.0,157,158,0
6030.0,157.0,157,158,0
6060.0,157.0,157,158,0
6090.0,157.0,157,158,0
6120.0,157.0,157,158,0
6150.0,157.0,157,157,0
6180.0,157.0,157,158,0
6210.0,157.5,157,158,0
6240.0,158.0,157,158,0
6270.0,158.0,157,158,0
6300.0,157.5,157,158,0
6330.0,158.0,157,158,0
6360.0,158.0,158,158,0
6390.0,158.0,158,158,0
6420.0,158.0,158,158,0
6450.0,158.0,158,158,0
6480.0,158.0,158,158,0
6510.0,158.0,158,158,0
6540.0,158.0,158,159,0
6570.0,158.0,158,159,0
6600.0,158.0,158,159,0
6630.0,158.0,158,158,0
6660.0,158.0,158,159,0
6690.0,158.0,157,158,0
6720.0,158.0,157,158,0
6750.0,158.0,157,158,0
6780.0,158.0,157,158,0
6810.0,158.0,158,158,0
6840.0,158.0,157,158,0
6870.0,158.0,157,158,0
6900.0,158.0,157,158,0
6930.0,158.0,158,158,0
6960.0,158.0,157,158,0
6990.0,158.0,158,158,0
7020.0,158.0,158,158,0
7050.0,158.0,158,158,0
7080.0,158.0,158,159,0
7110.0,158.0,158,159,0
7140.0,158.0,158,159,0
7170.0,158.0,158,159,0
7200.0,158.0,158,159,0
7230.0,159.0,158,159,0
7260.0,159.0,159,159,0
7290.0,160.0,159,160,0
7320.0,160.0,160,161,0
7350.0,161.0,160,161,0
7380.0,161.5,161,162,0
7410.0,162.0,162,162,0
7440.0,163.0,163,163,0
7470.0,163.0,163,163,0
7500.0,164.0,163,164,0
7530.0,164.0,164,164,0
7560.0,164.0,163,164,0
