level,size,x,y,expo_us,mean,nframes,sat_px_max,low_px_max
1,256,0,0,300.0,149.9,10,0,0
2,256,128,0,300.0,180.5,10,0,0
3,256,256,0,300.0,186.3,10,0,0
4,256,384,0,300.0,222.5,10,0,0
5,256,512,0,300.0,212.0,10,0,0
6,256,544,0,300.0,210.3,10,0,0
7,256,0,128,300.0,231.2,10,0,0
8,256,128,128,300.0,309.5,10,0,0
9,256,256,128,300.0,356.3,10,0,0
10,256,384,128,300.0,298.8,10,0,0
11,256,512,128,300.0,230.1,10,0,0
12,256,544,128,300.0,221.3,10,0,0
13,256,0,256,300.0,303.6,10,0,0
14,256,128,256,300.0,588.8,10,0,0
15,256,256,256,300.0,769.6,10,0,0
1,256,0,0,174.38,178.6,10,0,0
2,256,128,0,174.38,183.7,10,0,0
3,256,256,0,174.38,187.4,10,0,0
4,256,384,0,174.38,185.7,10,0,0
5,256,512,0,174.38,182.0,10,0,0
6,256,544,0,174.38,181.4,10,0,0
7,256,0,128,174.38,188.8,10,0,0
8,256,128,128,174.38,227.9,10,0,0
9,256,256,128,174.38,252.5,10,0,0
10,256,384,128,174.38,225.7,10,0,0
11,256,512,128,174.38,192.2,10,0,0
12,256,544,128,174.38,187.6,10,0,0
13,256,0,256,174.38,225.0,10,0,0
14,256,128,256,174.38,370.1,10,0,0
15,256,256,256,174.38,466.7,10,0,0
16,256,384,256,174.38,360.8,10,0,0
17,256,512,256,174.38,225.7,10,0,0
18,256,544,256,174.38,207.8,10,0,0
19,256,0,344,174.38,250.5,10,0,0
20,256,128,344,174.38,982.1,10,198,0
1,256,0,0,74.25,154.9,10,0,0
2,256,128,0,74.25,156.2,10,0,0
3,256,256,0,74.25,157.0,10,0,0
4,256,384,0,74.25,156.6,10,0,0
5,256,512,0,74.25,156.0,10,0,0
6,256,544,0,74.25,156.0,10,0,0
7,256,0,128,74.25,157.4,10,0,0
8,256,128,128,74.25,166.7,10,0,0
9,256,256,128,74.25,173.0,10,0,0
10,256,384,128,74.25,166.9,10,0,0
11,256,512,128,74.25,158.7,10,0,0
