delay_us,median,min,max,sat_px
2500.88,183.0,182,183,0
2505.75,183.0,182,183,0
2510.62,183.0,183,183,0
2515.5,183.0,183,183,0
2520.38,183.0,183,183,0
2525.25,183.0,182,183,0
2530.12,183.0,182,183,0
2535.0,183.0,182,183,0
2539.88,182.5,182,183,0
2544.75,183.0,182,183,0
2549.62,183.0,183,183,0
2554.5,183.0,182,183,0
2559.38,183.0,183,183,0
2564.25,183.0,182,183,0
2569.12,183.0,182,183,0
2574.0,182.5,182,183,0
2578.88,183.0,182,183,0
2583.75,183.0,182,183,0
2588.62,183.0,182,183,0
2593.5,182.5,182,183,0
2598.38,183.0,182,183,0
2603.25,183.0,182,183,0
2608.12,183.0,183,183,0
2613.0,183.0,182,183,0
2617.88,182.5,182,183,0
2622.75,183.0,182,183,0
2627.62,183.0,182,183,0
2632.5,183.0,182,183,0
2637.38,183.0,183,183,0
2642.25,183.0,182,183,0
2647.12,183.0,182,183,0
2652.0,183.0,183,183,0
2656.88,183.0,183,183,0
2661.75,183.0,182,183,0
2666.62,183.0,183,183,0
2671.5,183.0,182,183,0
2676.38,183.0,183,183,0
2681.25,183.0,182,183,0
2686.12,183.0,182,183,0
2691.0,183.0,182,183,0
2695.88,183.0,182,183,0
2700.75,183.0,182,183,0
2705.62,183.0,183,183,0
2710.5,183.0,182,183,0
2715.38,182.5,182,183,0
2720.25,182.5,182,183,0
2725.12,183.0,182,183,0
2730.0,183.0,182,183,0
2734.88,183.0,182,183,0
2739.75,209.5,203,220,0
2744.62,266.0,257,272,0
2749.5,288.0,279,292,0
2754.38,294.0,290,295,0
2759.25,288.0,284,294,0
2764.12,285.0,284,293,0
2769.0,285.0,283,291,0
2773.88,284.0,283,289,0
2778.75,284.5,284,286,0
2783.62,283.5,283,285,0
2788.5,283.0,282,285,0
2793.38,283.0,282,284,0
2798.25,283.0,282,283,0
2803.12,283.0,282,284,0
2808.0,282.5,282,284,0
2812.88,282.0,281,282,0
2817.75,282.0,281,283,0
2822.62,282.0,281,283,0
2827.5,282.0,281,282,0
2832.38,281.0,280,282,0
2837.25,281.0,280,282,0
2842.12,281.0,280,282,0
2847.0,280.0,280,282,0
2851.88,281.0,280,282,0
