level,kind,t_s,dark_level,peak,sat_px_max,file
0,sweep,248.9,151.0,205.0,0,w5us_red620win_L000.csv
255,sweep,496.3,152.5,638.0,0,w5us_red620win_L255.csv
119,sweep,742.4,151.0,571.5,0,w5us_red620win_L119.csv
51,sweep,987.3,151.0,206.5,0,w5us_red620win_L051.csv
187,sweep,1239.8,151.75,606.5,0,w5us_red620win_L187.csv
17,sweep,1488.1,151.0,205.5,0,w5us_red620win_L017.csv
85,sweep,1736.1,151.0,579.5,0,w5us_red620win_L085.csv
153,sweep,1993.1,151.0,603.5,0,w5us_red620win_L153.csv
221,sweep,2249.9,152.0,648.0,0,w5us_red620win_L221.csv
34,sweep,2507.7,151.0,206.0,0,w5us_red620win_L034.csv
68,sweep,2766.5,151.0,331.5,0,w5us_red620win_L068.csv
102,sweep,3023.6,151.0,564.0,0,w5us_red620win_L102.csv
136,sweep,3269.0,151.0,585.5,0,w5us_red620win_L136.csv
170,sweep,3523.7,151.0,597.5,0,w5us_red620win_L170.csv
204,sweep,3784.9,152.0,619.0,0,w5us_red620win_L204.csv
238,sweep,4045.2,152.0,614.0,0,w5us_red620win_L238.csv
0,repeat,4304.1,151.0,204.0,0,w5us_red620win_L000r.csv
