delay_us,mean,spread,ntags,p0,p1,p2,p3,p4,p5,p6,p7
0.0,164.0,0.0,8,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0
5.0,164.0,0.0,8,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0
10.0,164.0,0.0,8,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0
15.0,164.06,0.25,8,164.0,164.0,164.0,164.0,164.0,164.0,164.25,164.25
20.0,164.0,0.0,8,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0
25.0,164.19,0.5,8,164.5,164.5,164.0,164.0,164.0,164.0,164.5,164.0
30.0,164.07,0.33,8,164.25,164.0,164.0,164.0,164.0,164.0,164.0,164.33
35.0,164.17,0.5,8,164.5,164.0,164.0,164.0,164.0,164.33,164.5,164.0
40.0,164.41,1.0,8,164.67,164.0,164.25,164.0,164.5,164.5,165.0,164.33
45.0,164.44,1.0,8,164.5,164.5,164.0,164.5,164.5,164.0,165.0,164.5
50.0,164.6,0.67,8,164.38,164.33,164.5,164.75,164.5,164.33,165.0,165.0
55.0,164.57,1.0,8,164.6,164.0,164.5,164.0,165.0,164.5,165.0,165.0
60.0,164.74,0.67,8,165.0,164.5,164.33,164.33,165.0,164.75,165.0,165.0
65.0,164.8,0.67,8,165.0,164.75,164.67,164.33,164.67,165.0,165.0,165.0
70.0,164.86,0.5,8,165.0,164.75,164.67,165.0,164.5,165.0,165.0,165.0
75.0,164.88,1.0,8,165.0,165.0,164.0,165.0,165.0,165.0,165.0,165.0
80.0,165.0,0.0,8,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0
85.0,165.0,0.0,8,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0
90.0,165.0,0.0,8,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0
95.0,165.08,0.67,8,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.67
100.0,165.12,0.5,8,165.5,165.0,165.0,165.0,165.0,165.0,165.0,165.5
105.0,165.12,0.67,8,165.33,165.0,165.0,165.0,165.0,165.0,165.0,165.67
110.0,165.31,1.0,8,166.0,165.0,165.0,165.0,165.0,165.5,165.5,165.5
115.0,165.51,1.0,8,166.0,165.25,165.5,165.0,165.0,165.67,165.67,166.0
120.0,165.56,1.0,8,166.0,165.5,165.5,165.0,165.0,166.0,166.0,165.5
125.0,165.59,1.0,8,166.0,165.75,165.0,165.0,165.0,166.0,166.0,166.0
130.0,165.5,1.0,8,166.0,165.5,165.5,165.5,165.0,165.0,166.0,165.5
