delay_us,mean,spread,ntags,p0,p1,p2,p3,p4,p5,p6,p7
0.0,160.3,0.67,8,160.2,160.33,160.0,160.33,160.0,160.67,160.33,160.5
5.0,160.44,1.0,8,160.2,160.33,160.67,160.0,160.33,160.0,161.0,161.0
10.0,160.6,0.75,8,160.67,160.67,160.25,160.5,160.25,160.5,161.0,161.0
15.0,160.5,1.0,8,160.5,160.0,160.0,160.5,161.0,160.5,161.0,160.5
20.0,160.36,1.0,8,160.5,160.33,160.33,160.0,160.25,160.0,161.0,160.5
25.0,160.5,1.0,8,160.33,160.33,160.33,160.0,160.5,160.5,161.0,161.0
30.0,160.51,1.0,8,161.0,160.25,160.0,160.0,160.4,161.0,160.67,160.75
35.0,160.31,1.0,8,160.5,160.0,160.0,160.0,160.0,161.0,160.5,160.5
40.0,160.39,1.0,8,160.5,160.0,160.0,160.0,160.33,161.0,160.6,160.67
45.0,160.38,1.0,8,161.0,160.5,160.0,160.0,160.5,160.5,160.5,160.0
50.0,160.45,1.0,8,160.33,160.33,160.67,160.25,160.0,160.5,160.5,161.0
55.0,160.48,0.33,8,160.67,160.33,160.5,160.33,160.5,160.5,160.5,160.5
60.0,160.46,1.0,8,161.0,160.25,160.0,160.0,160.33,160.33,161.0,160.75
65.0,160.25,1.0,8,160.0,160.5,160.0,160.0,160.0,161.0,160.5,160.0
70.0,160.38,1.0,8,161.0,160.0,160.0,160.0,160.0,161.0,160.67,160.33
75.0,160.51,1.0,8,160.0,160.5,160.5,160.0,160.5,160.6,161.0,161.0
80.0,160.23,1.0,8,160.38,160.0,160.0,160.0,160.25,160.25,161.0,160.0
85.0,160.12,0.5,8,160.0,160.0,160.0,160.0,160.5,160.0,160.5,160.0
90.0,160.36,1.0,8,161.0,160.0,160.0,160.0,160.38,160.0,160.75,160.75
95.0,160.27,1.0,8,160.0,161.0,160.0,160.0,160.33,160.33,160.0,160.5
100.0,160.38,0.75,8,160.67,160.0,160.0,160.25,160.25,160.75,160.5,160.6
105.0,160.61,1.0,8,160.4,160.0,160.5,160.5,160.5,161.0,161.0,161.0
110.0,160.42,1.0,8,160.5,160.17,160.25,160.0,160.25,160.5,161.0,160.67
115.0,160.38,1.0,8,160.5,160.5,160.0,160.0,161.0,160.5,160.0,160.5
120.0,160.38,0.75,8,160.0,160.5,160.0,160.33,160.33,160.33,160.75,160.75
125.0,160.25,0.5,8,160.0,160.0,160.0,160.0,160.5,160.5,160.5,160.5
130.0,160.35,0.83,8,160.0,160.5,160.33,160.0,160.0,160.83,160.67,160.5
135.0,160.44,1.0,8,160.5,160.0,160.5,160.5,160.0,160.5,160.5,161.0
140.0,160.36,1.0,8,160.67,160.0,160.0,160.25,160.5,160.0,160.5,161.0
145.0,160.46,1.0,8,161.0,160.0,160.0,160.0,160.5,160.5,160.67,161.0
150.0,160.37,0.75,8,160.67,160.33,160.0,160.0,160.25,160.75,160.5,160.44
155.0,160.35,1.0,8,160.0,160.33,160.5,160.0,160.0,160.5,161.0,160.5
160.0,160.43,1.0,8,160.75,160.0,160.5,160.0,160.33,160.33,161.0,160.5
165.0,160.31,1.0,8,160.5,160.0,160.0,160.0,160.0,160.5,161.0,160.5
170.0,160.54,1.0,8,160.75,160.25,160.33,160.0,160.33,161.0,160.67,161.0
175.0,160.39,1.0,8,160.5,160.0,160.5,160.0,160.25,160.33,161.0,160.5
180.0,160.43,1.0,8,160.67,160.33,160.0,160.0,160.25,160.5,161.0,160.67
