delay_us,mean,spread,ntags,p0,p1,p2,p3,p4,p5,p6,p7
0.0,160.81,0.5,8,161.0,161.0,160.5,160.5,160.5,161.0,161.0,161.0
5.0,160.82,0.67,8,161.0,160.89,160.67,160.67,160.33,161.0,161.0,161.0
10.0,160.79,0.5,8,160.5,161.0,160.67,160.75,160.75,161.0,160.67,161.0
15.0,160.83,0.5,8,161.0,160.67,160.5,160.5,161.0,161.0,161.0,161.0
20.0,160.96,0.33,8,161.0,161.0,161.0,161.0,160.67,161.0,161.0,161.0
25.0,160.79,1.0,8,161.0,160.5,161.0,160.8,161.0,160.0,161.0,161.0
30.0,160.91,0.5,8,160.5,161.0,161.0,161.0,160.8,161.0,161.0,161.0
35.0,160.88,0.5,8,160.5,161.0,161.0,161.0,160.5,161.0,161.0,161.0
40.0,160.79,0.5,8,160.67,160.67,160.75,160.75,160.5,161.0,161.0,161.0
45.0,160.9,0.5,8,160.67,161.0,160.5,161.0,161.0,161.0,161.0,161.0
50.0,160.91,0.33,8,161.0,160.88,160.67,161.0,160.75,161.0,161.0,161.0
55.0,160.9,0.33,8,161.0,160.71,160.8,161.0,161.0,160.67,161.0,161.0
60.0,160.94,0.5,8,161.0,161.0,160.5,161.0,161.0,161.0,161.0,161.0
65.0,160.76,1.0,8,161.0,160.9,160.75,160.75,160.0,160.67,161.0,161.0
70.0,160.9,0.67,8,161.0,161.0,160.83,160.33,161.0,161.0,161.0,161.0
75.0,160.92,0.33,8,161.0,161.0,160.67,160.67,161.0,161.0,161.0,161.0
80.0,160.83,0.5,8,160.67,161.0,161.0,160.67,160.8,160.5,161.0,161.0
85.0,160.94,0.5,8,161.0,161.0,160.5,161.0,161.0,161.0,161.0,161.0
90.0,160.88,0.25,8,160.75,160.75,161.0,160.75,160.75,161.0,161.0,161.0
95.0,160.94,0.33,8,160.88,161.0,161.0,160.67,161.0,161.0,161.0,161.0
100.0,160.85,0.67,8,161.0,161.0,161.0,160.33,161.0,161.0,161.0,160.5
105.0,160.89,0.67,8,161.0,160.75,161.0,160.33,161.0,161.0,161.0,161.0
110.0,160.86,0.5,8,161.0,160.75,160.75,160.5,161.0,160.86,161.0,161.0
115.0,160.81,0.5,8,161.0,161.0,160.5,160.5,160.5,161.0,161.0,161.0
120.0,160.76,0.5,8,161.0,160.62,160.5,160.75,160.5,160.67,161.0,161.0
125.0,160.84,0.5,8,161.0,160.75,161.0,160.5,161.0,161.0,160.5,161.0
130.0,160.77,1.0,8,161.0,160.67,160.5,161.0,161.0,160.0,161.0,161.0
135.0,160.88,0.5,8,161.0,161.0,160.5,161.0,160.5,161.0,161.0,161.0
140.0,160.96,0.33,8,161.0,161.0,160.67,161.0,161.0,161.0,161.0,161.0
145.0,160.88,0.33,8,161.0,160.67,161.0,160.83,161.0,161.0,160.75,160.75
150.0,160.85,1.0,8,161.0,161.0,160.0,160.8,161.0,161.0,161.0,161.0
155.0,161.0,0.0,8,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0
160.0,160.94,0.5,8,161.0,161.0,161.0,161.0,161.0,161.0,161.0,160.5
165.0,160.75,0.75,8,161.0,160.75,160.5,160.25,161.0,160.5,161.0,161.0
170.0,160.72,0.5,8,161.0,161.0,160.5,160.5,160.5,160.5,160.8,161.0
175.0,160.81,0.5,8,161.0,160.67,160.67,160.67,160.5,161.0,161.0,161.0
180.0,160.93,0.33,8,161.0,160.67,161.0,161.0,161.0,160.75,161.0,161.0
185.0,160.8,0.5,8,161.0,161.0,160.56,160.67,160.67,160.5,161.0,161.0
190.0,160.69,1.0,8,160.5,161.0,160.0,160.67,160.33,161.0,161.0,161.0
195.0,160.88,0.5,8,160.75,160.75,160.5,161.0,161.0,161.0,161.0,161.0
200.0,160.88,0.5,8,161.0,161.0,161.0,160.5,160.5,161.0,161.0,161.0
205.0,160.76,0.5,8,161.0,160.67,160.5,160.5,160.75,161.0,161.0,160.67
210.0,160.91,0.33,8,161.0,160.89,161.0,160.67,161.0,160.75,161.0,161.0
215.0,160.68,1.0,8,160.5,161.0,160.4,160.5,161.0,160.0,161.0,161.0
