delay_us,median,min,max,sat_px
0.0,162.0,162,162,0
4.88,162.0,161,162,0
9.75,162.0,162,162,0
14.62,162.0,162,162,0
19.5,162.0,162,162,0
24.38,162.0,162,162,0
29.25,162.0,162,162,0
34.12,162.0,162,162,0
39.0,162.0,162,162,0
43.88,162.0,162,162,0
48.75,162.0,162,162,0
53.62,162.0,162,162,0
58.5,162.0,161,162,0
63.38,162.0,161,162,0
68.25,162.0,162,162,0
73.12,162.0,162,162,0
78.0,162.0,162,162,0
82.88,162.0,162,162,0
87.75,162.0,162,162,0
92.62,162.0,162,162,0
97.5,162.0,162,162,0
102.38,162.0,161,162,0
107.25,162.0,162,162,0
112.12,162.0,162,163,0
117.0,162.0,162,162,0
121.88,162.0,162,162,0
126.75,162.0,162,162,0
131.62,162.0,162,162,0
136.5,162.0,162,162,0
141.38,162.0,162,162,0
146.25,162.0,162,162,0
151.12,162.0,162,162,0
156.0,162.0,162,162,0
160.88,162.0,162,162,0
165.75,162.0,162,162,0
170.62,162.0,162,162,0
175.5,162.0,162,162,0
180.38,162.0,162,162,0
185.25,162.0,162,162,0
190.12,162.0,162,162,0
195.0,162.0,162,162,0
199.88,162.0,162,162,0
204.75,162.0,162,162,0
209.62,162.0,162,162,0
214.5,162.0,162,162,0
219.38,162.0,162,162,0
224.25,162.0,162,162,0
229.12,162.0,162,162,0
234.0,162.0,162,162,0
238.88,162.0,162,162,0
243.75,162.0,162,162,0
248.62,162.0,162,162,0
253.5,162.0,162,162,0
258.38,162.0,162,162,0
263.25,162.0,162,162,0
268.12,162.0,162,162,0
273.0,162.0,162,162,0
277.88,162.0,162,162,0
282.75,162.0,162,162,0
287.62,162.0,162,162,0
292.5,162.0,162,162,0
297.38,162.0,162,162,0
302.25,162.0,162,162,0
307.12,162.0,162,162,0
312.0,162.0,162,162,0
316.88,162.0,162,162,0
321.75,162.0,162,162,0
326.62,162.0,162,162,0
331.5,162.0,162,163,0
336.38,162.0,162,162,0
341.25,162.0,162,162,0
346.12,162.0,162,162,0
351.0,162.0,162,162,0
355.88,162.0,162,162,0
360.75,162.0,162,162,0
365.62,162.0,162,162,0
370.5,162.0,162,162,0
375.38,162.0,162,162,0
380.25,162.0,162,162,0
385.12,162.0,162,162,0
390.0,162.0,162,162,0
394.88,162.0,162,162,0
399.75,162.0,162,162,0
404.62,162.0,162,162,0
409.5,162.0,162,162,0
414.38,162.0,162,162,0
419.25,162.0,162,162,0
424.12,162.0,162,162,0
429.0,162.0,162,162,0
433.88,162.0,162,162,0
438.75,162.0,162,162,0
443.62,162.0,162,162,0
448.5,162.0,162,162,0
453.38,162.0,162,162,0
458.25,162.0,162,162,0
463.12,162.0,162,162,0
468.0,162.0,162,162,0
472.88,162.0,162,162,0
477.75,162.0,162,162,0
482.62,162.0,162,162,0
487.5,162.0,162,162,0
492.38,162.0,162,162,0
497.25,162.0,162,162,0
502.12,162.0,162,162,0
507.0,162.0,161,162,0
511.88,162.0,162,162,0
516.75,162.0,162,162,0
521.62,162.0,162,162,0
526.5,162.0,162,162,0
531.38,162.0,162,162,0
536.25,162.0,162,162,0
541.12,162.0,162,162,0
546.0,162.0,162,162,0
550.88,162.0,162,162,0
555.75,162.0,162,162,0
560.62,162.0,162,162,0
565.5,162.0,162,162,0
570.38,162.0,162,162,0
575.25,167.5,164,171,0
580.12,181.0,178,184,0
