delay_us,median,min,max,sat_px
0.0,164.0,164,165,0
4.88,164.0,164,165,0
9.75,165.0,164,165,0
14.62,165.0,165,165,0
19.5,165.0,165,165,0
24.38,165.0,165,165,0
29.25,165.0,165,165,0
34.12,165.0,165,165,0
39.0,165.0,165,166,0
43.88,166.0,166,166,0
48.75,166.0,166,166,0
53.62,166.0,166,166,0
58.5,166.0,166,167,0
63.38,166.0,166,166,0
68.25,166.0,166,167,0
73.12,167.0,166,167,0
78.0,167.0,166,167,0
82.88,167.0,167,167,0
87.75,167.0,167,167,0
92.62,167.0,167,167,0
97.5,167.0,167,167,0
102.38,167.0,167,168,0
107.25,167.0,167,168,0
112.12,168.0,167,168,0
117.0,168.0,167,168,0
121.88,168.0,167,168,0
126.75,168.0,168,168,0
131.62,168.0,168,168,0
136.5,168.5,168,169,0
141.38,168.0,168,169,0
146.25,169.0,168,169,0
151.12,169.0,169,169,0
156.0,169.0,169,169,0
160.88,169.0,169,169,0
165.75,169.0,169,169,0
170.62,169.5,169,170,0
175.5,169.0,169,170,0
180.38,170.0,169,170,0
185.25,170.0,169,170,0
190.12,170.0,170,170,0
195.0,170.0,170,170,0
199.88,170.0,170,171,0
204.75,170.0,170,170,0
209.62,170.0,170,171,0
214.5,171.0,170,171,0
219.38,171.0,171,171,0
224.25,171.0,171,171,0
229.12,171.0,171,171,0
234.0,171.0,171,171,0
238.88,171.0,171,171,0
243.75,171.0,171,171,0
248.62,171.0,171,172,0
253.5,172.0,171,172,0
258.38,172.0,172,172,0
263.25,172.0,172,172,0
268.12,172.0,172,172,0
273.0,172.0,172,172,0
277.88,172.0,172,172,0
282.75,172.0,172,173,0
287.62,172.0,172,172,0
292.5,172.0,172,173,0
297.38,173.0,172,173,0
302.25,173.0,172,173,0
307.12,173.0,172,173,0
312.0,173.0,172,173,0
316.88,173.0,172,173,0
321.75,173.0,173,173,0
326.62,173.0,173,173,0
331.5,173.0,173,173,0
336.38,173.0,173,173,0
341.25,173.0,173,173,0
346.12,173.0,173,173,0
351.0,173.0,173,173,0
355.88,173.0,173,173,0
360.75,173.0,173,173,0
365.62,173.0,173,173,0
370.5,173.0,173,173,0
375.38,173.0,173,173,0
380.25,173.0,173,173,0
385.12,173.0,173,173,0
390.0,173.0,173,174,0
394.88,173.0,173,173,0
399.75,173.0,173,173,0
404.62,173.0,173,173,0
409.5,173.0,173,173,0
414.38,173.0,173,173,0
419.25,173.0,173,173,0
424.12,173.0,173,173,0
429.0,173.0,173,173,0
433.88,173.0,173,173,0
438.75,173.0,173,173,0
443.62,173.0,173,173,0
448.5,173.0,173,173,0
453.38,173.0,173,173,0
458.25,173.0,173,173,0
463.12,173.0,173,173,0
468.0,173.0,173,173,0
472.88,173.0,173,173,0
477.75,173.0,173,173,0
482.62,173.0,173,173,0
487.5,173.0,173,173,0
492.38,173.0,173,173,0
497.25,173.0,173,173,0
502.12,173.0,173,173,0
507.0,173.0,173,173,0
511.88,173.0,173,174,0
516.75,173.0,173,173,0
521.62,173.0,173,174,0
526.5,173.0,173,174,0
531.38,173.0,173,173,0
536.25,173.0,173,173,0
541.12,173.0,173,173,0
546.0,173.0,173,173,0
550.88,173.0,173,173,0
555.75,173.0,173,174,0
560.62,173.0,173,174,0
565.5,173.0,173,173,0
570.38,173.0,173,174,0
575.25,173.0,173,174,0
580.12,173.0,173,174,0
585.0,173.0,173,174,0
589.88,173.0,173,174,0
594.75,173.0,173,174,0
599.62,173.0,173,174,0
604.5,173.5,173,174,0
609.38,173.5,173,174,0
614.25,173.5,173,174,0
619.12,173.0,173,174,0
624.0,173.5,173,174,0
628.88,173.5,173,174,0
633.75,173.5,173,174,0
638.62,173.5,173,174,0
643.5,173.5,173,174,0
648.38,173.0,173,174,0
653.25,173.0,173,174,0
658.12,174.0,173,174,0
663.0,174.0,173,174,0
667.88,173.5,173,174,0
672.75,174.0,173,174,0
677.62,174.0,173,174,0
682.5,173.5,173,174,0
687.38,173.0,173,174,0
692.25,173.5,173,174,0
697.12,173.0,173,174,0
702.0,174.0,173,174,0
706.88,173.0,173,174,0
711.75,173.5,173,174,0
716.62,174.0,173,174,0
721.5,173.5,173,174,0
726.38,173.5,173,174,0
731.25,174.0,174,174,0
736.12,173.0,173,174,0
741.0,174.0,173,174,0
745.88,174.0,173,174,0
750.75,174.0,173,174,0
755.62,173.0,173,174,0
760.5,173.5,173,174,0
765.38,174.0,173,174,0
770.25,174.0,173,174,0
775.12,173.5,173,174,0
780.0,173.0,173,174,0
784.88,174.0,173,174,0
789.75,173.5,173,174,0
794.62,173.5,173,174,0
799.5,174.0,173,174,0
804.38,174.0,173,174,0
809.25,174.0,173,174,0
814.12,173.5,173,174,0
819.0,173.0,173,174,0
823.88,173.5,173,174,0
828.75,174.0,173,174,0
833.62,173.0,173,174,0
838.5,173.0,173,174,0
843.38,173.5,173,174,0
848.25,173.5,173,174,0
853.12,174.0,173,174,0
858.0,173.0,173,174,0
862.88,173.0,173,174,0
867.75,173.5,173,174,0
872.62,173.5,173,174,0
877.5,173.0,173,174,0
882.38,173.0,173,174,0
887.25,173.0,173,174,0
892.12,173.0,173,174,0
897.0,173.5,173,174,0
901.88,173.5,173,174,0
906.75,173.5,173,174,0
911.62,173.5,173,174,0
916.5,173.0,173,174,0
921.38,174.0,173,174,0
926.25,174.0,173,174,0
931.12,173.5,173,174,0
936.0,173.5,173,174,0
940.88,173.0,173,174,0
945.75,173.0,173,174,0
950.62,174.0,173,174,0
955.5,173.0,173,174,0
960.38,173.0,173,173,0
965.25,174.0,174,174,0
970.12,174.0,173,174,0
975.0,174.0,173,174,0
979.88,173.0,173,174,0
984.75,174.0,173,174,0
989.62,173.5,173,174,0
994.5,173.0,173,174,0
999.38,174.0,173,174,0
1004.25,174.0,173,174,0
1009.12,174.0,174,174,0
1014.0,173.5,173,174,0
1018.88,174.0,173,174,0
1023.75,173.5,173,174,0
1028.62,174.0,173,174,0
1033.5,174.0,173,174,0
1038.38,173.0,173,174,0
1043.25,174.0,173,174,0
1048.12,174.0,173,174,0
1053.0,173.0,173,174,0
1057.88,173.5,173,174,0
1062.75,174.0,173,174,0
1067.62,174.0,173,174,0
1072.5,173.0,173,174,0
1077.38,173.5,173,174,0
1082.25,173.5,173,174,0
1087.12,174.0,173,174,0
1092.0,174.0,173,174,0
1096.88,173.5,173,174,0
1101.75,174.0,173,174,0
1106.62,174.0,173,174,0
1111.5,173.0,173,174,0
1116.38,174.0,173,174,0
1121.25,173.0,173,174,0
1126.12,173.5,173,174,0
1131.0,173.0,173,174,0
1135.88,173.5,173,174,0
