delay_us,median,min,max,sat_px
0.0,188.0,187,188,0
30.0,189.0,189,190,0
60.0,191.0,191,191,0
90.0,193.0,193,193,0
120.0,195.0,195,195,0
150.0,197.0,197,197,0
180.0,199.0,198,199,0
210.0,201.0,200,201,0
240.0,203.0,202,203,0
270.0,204.0,204,204,0
300.0,205.0,205,206,0
330.0,206.0,205,206,0
360.0,206.0,206,206,0
390.0,206.0,206,206,0
420.0,206.0,205,206,0
450.0,206.0,206,206,0
480.0,206.0,205,206,0
510.0,206.0,206,206,0
540.0,206.0,206,207,0
570.0,207.0,207,207,0
600.0,208.0,207,208,0
630.0,208.0,207,208,0
660.0,208.0,207,208,0
690.0,208.0,207,208,0
720.0,207.0,207,208,0
750.0,208.0,207,208,0
780.0,208.0,207,208,0
810.0,207.0,207,208,0
840.0,207.0,207,207,0
870.0,207.0,206,207,0
900.0,206.5,206,207,0
930.0,206.5,206,207,0
960.0,206.5,206,207,0
990.0,206.5,206,207,0
1020.0,207.0,206,207,0
1050.0,207.0,206,207,0
1080.0,207.0,206,207,0
1110.0,207.0,207,207,0
1140.0,207.0,206,207,0
1170.0,206.5,206,207,0
1200.0,207.0,206,207,0
1230.0,206.5,206,207,0
1260.0,207.0,206,207,0
1290.0,206.5,206,207,0
1320.0,207.0,206,207,0
1350.0,206.5,206,207,0
1380.0,207.0,207,207,0
1410.0,207.0,206,207,0
1440.0,207.0,206,207,0
1470.0,206.5,206,207,0
1500.0,207.0,206,207,0
1530.0,206.0,206,207,0
1560.0,207.0,206,207,0
1590.0,207.0,206,207,0
1620.0,206.0,206,207,0
1650.0,207.0,206,207,0
1680.0,206.5,206,207,0
1710.0,207.0,206,207,0
1740.0,207.0,206,207,0
1770.0,207.0,206,207,0
1800.0,207.0,206,207,0
1830.0,206.0,206,207,0
1860.0,207.0,207,207,0
1890.0,207.0,206,207,0
1920.0,207.0,206,207,0
1950.0,207.0,207,207,0
1980.0,206.0,206,207,0
2010.0,206.5,206,207,0
2040.0,207.0,207,207,0
2070.0,206.5,206,207,0
2100.0,206.5,206,207,0
2130.0,207.0,206,207,0
2160.0,207.0,206,207,0
2190.0,207.0,207,208,0
2220.0,207.0,207,208,0
2250.0,207.0,207,208,0
2280.0,207.0,207,208,0
2310.0,208.0,207,208,0
2340.0,207.0,207,207,0
2370.0,207.0,207,208,0
2400.0,207.0,207,208,0
2430.0,207.0,207,207,0
2460.0,207.0,207,208,0
2490.0,207.0,207,207,0
2520.0,207.0,206,207,0
2550.0,206.0,206,206,0
2580.0,206.0,206,207,0
2610.0,206.0,206,207,0
2640.0,206.0,206,207,0
2670.0,206.0,206,207,0
2700.0,206.0,206,206,0
2730.0,992.5,992,994,205
2760.0,996.0,995,996,208
2790.0,995.0,994,996,208
2820.0,996.0,996,996,208
2850.0,996.0,995,996,209
2880.0,996.0,995,996,209
2910.0,996.0,996,996,208
2940.0,996.0,996,997,209
2970.0,996.5,995,997,209
3000.0,996.5,995,997,209
3030.0,997.0,997,998,209
3060.0,997.0,996,997,209
3090.0,997.0,997,997,209
3120.0,997.5,997,998,211
3150.0,266.5,254,393,0
3180.0,192.0,191,193,0
3210.0,184.0,184,184,0
3240.0,183.0,183,183,0
3270.0,183.0,183,184,0
3300.0,183.0,183,183,0
3330.0,183.0,183,184,0
3360.0,995.0,995,996,208
3390.0,995.5,994,996,207
3420.0,207.5,207,210,0
3450.0,189.0,189,190,0
3480.0,185.0,185,185,0
3510.0,184.0,184,184,0
3540.0,184.0,184,184,0
3570.0,184.0,184,185,0
3600.0,186.0,186,186,0
3630.0,188.0,187,188,0
3660.0,190.0,189,190,0
3690.0,192.0,192,193,0
3720.0,196.0,196,196,0
