delay_us,median,min,max,sat_px
0.0,158.0,158,158,0
4.88,158.0,158,159,0
9.75,158.0,158,159,0
14.62,158.0,158,158,0
19.5,158.0,158,159,0
24.38,158.0,158,159,0
29.25,158.0,158,159,0
34.12,158.0,158,159,0
39.0,158.0,158,159,0
43.88,158.0,158,158,0
48.75,158.0,158,158,0
53.62,158.0,158,158,0
58.5,158.0,158,159,0
63.38,158.0,158,158,0
68.25,158.0,158,159,0
73.12,158.0,158,159,0
78.0,158.0,158,158,0
82.88,158.0,158,159,0
87.75,158.0,158,158,0
92.62,158.5,158,159,0
97.5,158.0,158,158,0
102.38,158.0,158,159,0
107.25,158.0,158,159,0
112.12,158.0,158,158,0
117.0,158.0,158,159,0
121.88,158.0,158,158,0
126.75,158.0,158,159,0
131.62,158.0,158,158,0
136.5,158.0,158,158,0
141.38,158.0,158,158,0
146.25,158.0,158,159,0
151.12,158.0,158,159,0
156.0,158.0,158,159,0
160.88,158.0,158,158,0
165.75,158.0,158,159,0
170.62,158.0,158,159,0
175.5,158.0,158,159,0
180.38,158.0,158,159,0
185.25,158.0,158,159,0
190.12,158.0,158,159,0
195.0,158.0,158,158,0
199.88,158.5,158,159,0
204.75,158.0,158,158,0
209.62,158.0,158,159,0
214.5,158.0,158,159,0
219.38,158.0,158,159,0
224.25,158.0,158,159,0
229.12,158.5,158,159,0
234.0,158.0,158,159,0
238.88,158.0,158,159,0
243.75,158.5,158,159,0
248.62,158.0,158,159,0
253.5,158.0,158,158,0
258.38,158.0,158,159,0
263.25,158.0,158,159,0
268.12,158.0,158,159,0
273.0,158.0,158,158,0
277.88,158.0,158,158,0
282.75,158.0,158,159,0
287.62,158.0,158,158,0
292.5,158.0,158,159,0
297.38,158.0,158,158,0
302.25,158.0,158,158,0
307.12,158.0,158,158,0
312.0,158.0,158,159,0
316.88,158.0,158,159,0
321.75,158.5,158,159,0
326.62,158.0,158,158,0
331.5,158.0,158,158,0
336.38,158.0,158,158,0
341.25,158.5,158,159,0
346.12,158.0,158,159,0
351.0,158.0,158,159,0
355.88,158.0,158,159,0
360.75,158.0,158,159,0
365.62,158.0,158,159,0
370.5,158.0,158,158,0
375.38,158.0,158,158,0
380.25,158.5,158,159,0
385.12,158.0,158,159,0
390.0,159.0,158,159,0
394.88,158.0,158,159,0
399.75,158.0,158,159,0
404.62,158.0,158,159,0
409.5,159.0,158,159,0
414.38,158.5,158,159,0
419.25,158.0,158,159,0
424.12,158.0,158,159,0
429.0,159.0,158,159,0
433.88,158.5,158,159,0
438.75,159.0,158,159,0
443.62,158.0,158,159,0
448.5,158.0,158,158,0
453.38,158.0,158,159,0
458.25,158.0,158,159,0
463.12,158.0,158,159,0
468.0,158.0,158,159,0
472.88,158.0,158,159,0
477.75,158.5,158,159,0
482.62,158.0,158,159,0
487.5,158.0,158,159,0
492.38,158.0,158,159,0
497.25,158.0,158,159,0
502.12,158.0,158,158,0
507.0,158.5,158,159,0
511.88,158.0,158,158,0
516.75,158.5,158,159,0
521.62,158.5,158,159,0
526.5,158.0,158,158,0
531.38,158.0,158,158,0
536.25,158.0,158,159,0
541.12,158.5,158,159,0
546.0,159.0,158,159,0
550.88,158.5,158,159,0
555.75,158.5,158,159,0
560.62,158.5,158,159,0
565.5,159.0,158,159,0
570.38,159.0,158,159,0
575.25,158.0,158,159,0
580.12,158.5,158,159,0
585.0,158.0,158,159,0
589.88,159.0,158,159,0
594.75,158.5,158,159,0
599.62,158.0,158,159,0
604.5,159.0,158,159,0
609.38,159.0,159,159,0
614.25,159.0,158,159,0
619.12,159.0,158,159,0
624.0,159.0,158,159,0
628.88,158.5,158,159,0
633.75,158.5,158,159,0
638.62,158.0,158,159,0
643.5,159.0,158,159,0
648.38,159.0,158,159,0
653.25,159.0,159,159,0
658.12,159.0,158,159,0
663.0,159.0,159,159,0
667.88,159.0,158,159,0
672.75,158.5,158,159,0
677.62,159.0,158,159,0
682.5,158.0,158,159,0
687.38,159.0,158,159,0
692.25,159.0,158,159,0
697.12,159.0,158,159,0
702.0,159.0,158,159,0
706.88,158.0,158,159,0
711.75,159.0,158,159,0
716.62,159.0,158,159,0
721.5,159.0,158,159,0
726.38,158.5,158,159,0
731.25,159.0,158,159,0
736.12,159.0,158,159,0
741.0,159.0,158,159,0
745.88,159.0,158,159,0
750.75,159.0,158,159,0
755.62,159.0,158,159,0
760.5,159.0,158,159,0
765.38,158.5,158,159,0
770.25,158.5,158,159,0
775.12,159.0,158,159,0
780.0,159.0,158,159,0
784.88,159.0,158,159,0
789.75,159.0,158,159,0
794.62,159.0,158,159,0
799.5,159.0,158,159,0
804.38,159.0,158,159,0
809.25,158.5,158,159,0
814.12,158.0,158,159,0
819.0,158.5,158,159,0
823.88,158.5,158,159,0
828.75,159.0,158,159,0
833.62,159.0,158,159,0
838.5,159.0,158,159,0
843.38,158.5,158,159,0
848.25,158.5,158,159,0
853.12,158.0,158,159,0
858.0,158.0,158,159,0
